**** File name: ./output/25MB-spr1-no1.bin_clear_data.in ****
Clear file present: 	10728/19219 	 [%] = 55.819762
Clear file present: 	15651/19219 	 [%] = 81.435038
Xor file present: 	12097/19219 	 [%] = 62.942921
**** File name: ./output/25MB-spr1-no12.bin_clear_data.in ****
Clear file present: 	10561/19219 	 [%] = 54.950830
Xor file present: 	12082/19219 	 [%] = 62.864873
**** File name: ./output/25MB-spr1-no12.bin_clear_data.in ****
Clear file present: 	16026/19219 	 [%] = 83.386232
Xor file present: 	12082/19219 	 [%] = 62.864873
**** File name: ./output/25MB-spr1-no13.bin_clear_data.in ****
Clear file present: 	9666/19219 	 [%] = 50.293980
Xor file present: 	11609/19219 	 [%] = 60.403767
**** File name: ./output/25MB-spr1-no13.bin_clear_data.in ****
Clear file present: 	14519/19219 	 [%] = 75.545034
Xor file present: 	11609/19219 	 [%] = 60.403767
**** File name: ./output/25MB-spr1-no14.bin_clear_data.in ****
Clear file present: 	9432/19219 	 [%] = 49.076435
Xor file present: 	11574/19219 	 [%] = 60.221656
**** File name: ./output/25MB-spr1-no14.bin_clear_data.in ****
Clear file present: 	14340/19219 	 [%] = 74.613664
Xor file present: 	11574/19219 	 [%] = 60.221656
**** File name: ./output/25MB-spr1-no15.bin_clear_data.in ****
Clear file present: 	10501/19219 	 [%] = 54.638639
Xor file present: 	12070/19219 	 [%] = 62.802435
**** File name: ./output/25MB-spr1-no15.bin_clear_data.in ****
Clear file present: 	15863/19219 	 [%] = 82.538113
Xor file present: 	12070/19219 	 [%] = 62.802435
**** File name: ./output/25MB-spr1-no16.bin_clear_data.in ****
Clear file present: 	9533/19219 	 [%] = 49.601956
Xor file present: 	11541/19219 	 [%] = 60.049951
**** File name: ./output/25MB-spr1-no16.bin_clear_data.in ****
Clear file present: 	14332/19219 	 [%] = 74.572038
Xor file present: 	11541/19219 	 [%] = 60.049951
**** File name: ./output/25MB-spr1-no17.bin_clear_data.in ****
Clear file present: 	9390/19219 	 [%] = 48.857901
Xor file present: 	11440/19219 	 [%] = 59.524429
**** File name: ./output/25MB-spr1-no17.bin_clear_data.in ****
Clear file present: 	14108/19219 	 [%] = 73.406525
Xor file present: 	11440/19219 	 [%] = 59.524429
**** File name: ./output/25MB-spr1-no18.bin_clear_data.in ****
Clear file present: 	9671/19219 	 [%] = 50.319996
Xor file present: 	11698/19219 	 [%] = 60.866851
**** File name: ./output/25MB-spr1-no18.bin_clear_data.in ****
Clear file present: 	14884/19219 	 [%] = 77.444196
Xor file present: 	11698/19219 	 [%] = 60.866851
**** File name: ./output/25MB-spr1-no19.bin_clear_data.in ****
Clear file present: 	10454/19219 	 [%] = 54.394089
Xor file present: 	12033/19219 	 [%] = 62.609917
**** File name: ./output/25MB-spr1-no19.bin_clear_data.in ****
Clear file present: 	15885/19219 	 [%] = 82.652583
Xor file present: 	12033/19219 	 [%] = 62.609917
**** File name: ./output/25MB-spr1-no20.bin_clear_data.in ****
Clear file present: 	9109/19219 	 [%] = 47.395806
Xor file present: 	11529/19219 	 [%] = 59.987512
**** File name: ./output/25MB-spr1-no20.bin_clear_data.in ****
Clear file present: 	13649/19219 	 [%] = 71.018263
Xor file present: 	11529/19219 	 [%] = 59.987512
**** File name: ./output/25MB-spr1-no21.bin_clear_data.in ****
Clear file present: 	10479/19219 	 [%] = 54.524169
Xor file present: 	12029/19219 	 [%] = 62.589105
**** File name: ./output/25MB-spr1-no21.bin_clear_data.in ****
Clear file present: 	15792/19219 	 [%] = 82.168687
Xor file present: 	12029/19219 	 [%] = 62.589105
**** File name: ./output/25MB-spr1-no22.bin_clear_data.in ****
Clear file present: 	10529/19219 	 [%] = 54.784328
Xor file present: 	12148/19219 	 [%] = 63.208283
**** File name: ./output/25MB-spr1-no22.bin_clear_data.in ****
Clear file present: 	16107/19219 	 [%] = 83.807690
Xor file present: 	12148/19219 	 [%] = 63.208283
**** File name: ./output/25MB-spr1-no23.bin_clear_data.in ****
Clear file present: 	9857/19219 	 [%] = 51.287788
Xor file present: 	11504/19219 	 [%] = 59.857433
**** File name: ./output/25MB-spr1-no23.bin_clear_data.in ****
Clear file present: 	14904/19219 	 [%] = 77.548260
Xor file present: 	11504/19219 	 [%] = 59.857433
**** File name: ./output/25MB-spr1-no24.bin_clear_data.in ****
Clear file present: 	9895/19219 	 [%] = 51.485509
Xor file present: 	12054/19219 	 [%] = 62.719184
**** File name: ./output/25MB-spr1-no24.bin_clear_data.in ****
Clear file present: 	15264/19219 	 [%] = 79.421406
Xor file present: 	12054/19219 	 [%] = 62.719184
**** File name: ./output/25MB-spr1-no25.bin_clear_data.in ****
Clear file present: 	10469/19219 	 [%] = 54.472137
Xor file present: 	12069/19219 	 [%] = 62.797232
**** File name: ./output/25MB-spr1-no25.bin_clear_data.in ****
Clear file present: 	15939/19219 	 [%] = 82.933555
Xor file present: 	12069/19219 	 [%] = 62.797232
**** File name: ./output/25MB-spr1-no26.bin_clear_data.in ****
Clear file present: 	6069/19219 	 [%] = 31.578126
Xor file present: 	11412/19219 	 [%] = 59.378740
**** File name: ./output/25MB-spr1-no26.bin_clear_data.in ****
Clear file present: 	8441/19219 	 [%] = 43.920079
Xor file present: 	11412/19219 	 [%] = 59.378740
**** File name: ./output/25MB-spr1-no27.bin_clear_data.in ****
Clear file present: 	9374/19219 	 [%] = 48.774650
Xor file present: 	11568/19219 	 [%] = 60.190437
**** File name: ./output/25MB-spr1-no27.bin_clear_data.in ****
Clear file present: 	14235/19219 	 [%] = 74.067329
Xor file present: 	11568/19219 	 [%] = 60.190437
**** File name: ./output/25MB-spr1-no28.bin_clear_data.in ****
Clear file present: 	6345/19219 	 [%] = 33.014205
Xor file present: 	11483/19219 	 [%] = 59.748166
**** File name: ./output/25MB-spr1-no28.bin_clear_data.in ****
Clear file present: 	8957/19219 	 [%] = 46.604922
Xor file present: 	11483/19219 	 [%] = 59.748166
**** File name: ./output/25MB-spr1-no29.bin_clear_data.in ****
Clear file present: 	7371/19219 	 [%] = 38.352672
Xor file present: 	11434/19219 	 [%] = 59.493210
**** File name: ./output/25MB-spr1-no29.bin_clear_data.in ****
Clear file present: 	10949/19219 	 [%] = 56.969665
Xor file present: 	11434/19219 	 [%] = 59.493210
**** File name: ./output/25MB-spr1-no30.bin_clear_data.in ****
Clear file present: 	9631/19219 	 [%] = 50.111868
Xor file present: 	11640/19219 	 [%] = 60.565066
**** File name: ./output/25MB-spr1-no30.bin_clear_data.in ****
Clear file present: 	14763/19219 	 [%] = 76.814611
Xor file present: 	11640/19219 	 [%] = 60.565066
**** File name: ./output/25MB-spr1-no31.bin_clear_data.in ****
Clear file present: 	9421/19219 	 [%] = 49.019200
Xor file present: 	11563/19219 	 [%] = 60.164421
**** File name: ./output/25MB-spr1-no31.bin_clear_data.in ****
Clear file present: 	14288/19219 	 [%] = 74.343098
Xor file present: 	11563/19219 	 [%] = 60.164421
**** File name: ./output/25MB-spr1-no32.bin_clear_data.in ****
Clear file present: 	8277/19219 	 [%] = 43.066757
Xor file present: 	11577/19219 	 [%] = 60.237265
**** File name: ./output/25MB-spr1-no32.bin_clear_data.in ****
Clear file present: 	12658/19219 	 [%] = 65.861907
Xor file present: 	11577/19219 	 [%] = 60.237265
**** File name: ./output/25MB-spr1-no33.bin_clear_data.in ****
Clear file present: 	10157/19219 	 [%] = 52.848743
Xor file present: 	12036/19219 	 [%] = 62.625527
**** File name: ./output/25MB-spr1-no33.bin_clear_data.in ****
Clear file present: 	15498/19219 	 [%] = 80.638951
Xor file present: 	12036/19219 	 [%] = 62.625527
**** File name: ./output/25MB-spr1-no34.bin_clear_data.in ****
Clear file present: 	9663/19219 	 [%] = 50.278370
Xor file present: 	11664/19219 	 [%] = 60.689942
**** File name: ./output/25MB-spr1-no34.bin_clear_data.in ****
Clear file present: 	14723/19219 	 [%] = 76.606483
Xor file present: 	11664/19219 	 [%] = 60.689942
**** File name: ./output/25MB-spr1-no35.bin_clear_data.in ****
Clear file present: 	9593/19219 	 [%] = 49.914147
Xor file present: 	11470/19219 	 [%] = 59.680524
**** File name: ./output/25MB-spr1-no35.bin_clear_data.in ****
Clear file present: 	14471/19219 	 [%] = 75.295281
Xor file present: 	11470/19219 	 [%] = 59.680524
**** File name: ./output/25MB-spr1-no36.bin_clear_data.in ****
Clear file present: 	9610/19219 	 [%] = 50.002602
Xor file present: 	11542/19219 	 [%] = 60.055154
**** File name: ./output/25MB-spr1-no36.bin_clear_data.in ****
Clear file present: 	14542/19219 	 [%] = 75.664707
Xor file present: 	11542/19219 	 [%] = 60.055154
**** File name: ./output/25MB-spr1-no37.bin_clear_data.in ****
Clear file present: 	10448/19219 	 [%] = 54.362870
Xor file present: 	12100/19219 	 [%] = 62.958531
**** File name: ./output/25MB-spr1-no37.bin_clear_data.in ****
Clear file present: 	16088/19219 	 [%] = 83.708830
Xor file present: 	12100/19219 	 [%] = 62.958531
**** File name: ./output/25MB-spr1-no38.bin_clear_data.in ****
Clear file present: 	9876/19219 	 [%] = 51.386649
Xor file present: 	11646/19219 	 [%] = 60.596285
**** File name: ./output/25MB-spr1-no38.bin_clear_data.in ****
Clear file present: 	14882/19219 	 [%] = 77.433789
Xor file present: 	11646/19219 	 [%] = 60.596285
**** File name: ./output/25MB-spr1-no39.bin_clear_data.in ****
Clear file present: 	9622/19219 	 [%] = 50.065040
Xor file present: 	11437/19219 	 [%] = 59.508819
**** File name: ./output/25MB-spr1-no39.bin_clear_data.in ****
Clear file present: 	14622/19219 	 [%] = 76.080962
Xor file present: 	11437/19219 	 [%] = 59.508819
**** File name: ./output/25MB-spr1-no40.bin_clear_data.in ****
Clear file present: 	9552/19219 	 [%] = 49.700817
Xor file present: 	11342/19219 	 [%] = 59.014517
**** File name: ./output/25MB-spr1-no40.bin_clear_data.in ****
Clear file present: 	14416/19219 	 [%] = 75.009106
Xor file present: 	11342/19219 	 [%] = 59.014517
**** File name: ./output/25MB-spr1-no41.bin_clear_data.in ****
Clear file present: 	10334/19219 	 [%] = 53.769707
Xor file present: 	12056/19219 	 [%] = 62.729591
**** File name: ./output/25MB-spr1-no41.bin_clear_data.in ****
Clear file present: 	15801/19219 	 [%] = 82.215516
Xor file present: 	12056/19219 	 [%] = 62.729591
**** File name: ./output/25MB-spr1-no42.bin_clear_data.in ****
Clear file present: 	9786/19219 	 [%] = 50.918362
Xor file present: 	11568/19219 	 [%] = 60.190437
**** File name: ./output/25MB-spr1-no42.bin_clear_data.in ****
Clear file present: 	14887/19219 	 [%] = 77.459805
Xor file present: 	11568/19219 	 [%] = 60.190437
**** File name: ./output/25MB-spr1-no43.bin_clear_data.in ****
Clear file present: 	8797/19219 	 [%] = 45.772413
Xor file present: 	11617/19219 	 [%] = 60.445393
**** File name: ./output/25MB-spr1-no43.bin_clear_data.in ****
Clear file present: 	13389/19219 	 [%] = 69.665435
Xor file present: 	11617/19219 	 [%] = 60.445393
**** File name: ./output/25MB-spr1-no44.bin_clear_data.in ****
Clear file present: 	9557/19219 	 [%] = 49.726833
Xor file present: 	11605/19219 	 [%] = 60.382954
**** File name: ./output/25MB-spr1-no44.bin_clear_data.in ****
Clear file present: 	14488/19219 	 [%] = 75.383735
Xor file present: 	11605/19219 	 [%] = 60.382954
**** File name: ./output/25MB-spr1-no45.bin_clear_data.in ****
Clear file present: 	10354/19219 	 [%] = 53.873771
Xor file present: 	11992/19219 	 [%] = 62.396587
**** File name: ./output/25MB-spr1-no45.bin_clear_data.in ****
Clear file present: 	15737/19219 	 [%] = 81.882512
Xor file present: 	11992/19219 	 [%] = 62.396587
**** File name: ./output/25MB-spr1-no46.bin_clear_data.in ****
Clear file present: 	10475/19219 	 [%] = 54.503356
Xor file present: 	12119/19219 	 [%] = 63.057391
**** File name: ./output/25MB-spr1-no46.bin_clear_data.in ****
Clear file present: 	15962/19219 	 [%] = 83.053229
Xor file present: 	12119/19219 	 [%] = 63.057391
**** File name: ./output/25MB-spr1-no47.bin_clear_data.in ****
Clear file present: 	10262/19219 	 [%] = 53.395078
Xor file present: 	12141/19219 	 [%] = 63.171861
**** File name: ./output/25MB-spr1-no47.bin_clear_data.in ****
Clear file present: 	15646/19219 	 [%] = 81.409022
Xor file present: 	12141/19219 	 [%] = 63.171861
**** File name: ./output/25MB-spr1-no48.bin_clear_data.in ****
Clear file present: 	9715/19219 	 [%] = 50.548936
Xor file present: 	11469/19219 	 [%] = 59.675321
**** File name: ./output/25MB-spr1-no48.bin_clear_data.in ****
Clear file present: 	14681/19219 	 [%] = 76.387949
Xor file present: 	11469/19219 	 [%] = 59.675321
**** File name: ./output/25MB-spr1-no49.bin_clear_data.in ****
Clear file present: 	9388/19219 	 [%] = 48.847495
Xor file present: 	11405/19219 	 [%] = 59.342317
**** File name: ./output/25MB-spr1-no49.bin_clear_data.in ****
Clear file present: 	14025/19219 	 [%] = 72.974660
Xor file present: 	11405/19219 	 [%] = 59.342317
**** File name: ./output/25MB-spr1-no50.bin_clear_data.in ****
Clear file present: 	9673/19219 	 [%] = 50.330402
Xor file present: 	11629/19219 	 [%] = 60.507831
**** File name: ./output/25MB-spr1-no50.bin_clear_data.in ****
Clear file present: 	14638/19219 	 [%] = 76.164212
Xor file present: 	11629/19219 	 [%] = 60.507831
**** File name: ./output/25MB-spr1-no51.bin_clear_data.in ****
Clear file present: 	9029/19219 	 [%] = 46.979551
Xor file present: 	11443/19219 	 [%] = 59.540039
**** File name: ./output/25MB-spr1-no51.bin_clear_data.in ****
Clear file present: 	13609/19219 	 [%] = 70.810136
Xor file present: 	11443/19219 	 [%] = 59.540039
**** File name: ./output/25MB-spr2-no1.bin_clear_data.in ****
Clear file present: 	15655/19219 	 [%] = 81.455851
Xor file present: 	16441/19219 	 [%] = 85.545554
**** File name: ./output/25MB-spr2-no1.bin_clear_data.in ****
Clear file present: 	19186/19219 	 [%] = 99.828295
Xor file present: 	16441/19219 	 [%] = 85.545554
**** File name: ./output/25MB-spr2-no2.bin_clear_data.in ****
Clear file present: 	15652/19219 	 [%] = 81.440241
Xor file present: 	16605/19219 	 [%] = 86.398876
**** File name: ./output/25MB-spr2-no2.bin_clear_data.in ****
Clear file present: 	19189/19219 	 [%] = 99.843904
Xor file present: 	16605/19219 	 [%] = 86.398876
**** File name: ./output/25MB-spr2-no3.bin_clear_data.in ****
Clear file present: 	15737/19219 	 [%] = 81.882512
Xor file present: 	16560/19219 	 [%] = 86.164733
**** File name: ./output/25MB-spr2-no3.bin_clear_data.in ****
Clear file present: 	19184/19219 	 [%] = 99.817889
Xor file present: 	16560/19219 	 [%] = 86.164733
**** File name: ./output/25MB-spr2-no4.bin_clear_data.in ****
Clear file present: 	16049/19219 	 [%] = 83.505906
Xor file present: 	16605/19219 	 [%] = 86.398876
**** File name: ./output/25MB-spr2-no4.bin_clear_data.in ****
Clear file present: 	19193/19219 	 [%] = 99.864717
Xor file present: 	16605/19219 	 [%] = 86.398876
**** File name: ./output/25MB-spr2-no5.bin_clear_data.in ****
Clear file present: 	15726/19219 	 [%] = 81.825277
Xor file present: 	16468/19219 	 [%] = 85.686040
**** File name: ./output/25MB-spr2-no5.bin_clear_data.in ****
Clear file present: 	19171/19219 	 [%] = 99.750247
Xor file present: 	16468/19219 	 [%] = 85.686040
**** File name: ./output/25MB-spr2-no6.bin_clear_data.in ****
Clear file present: 	16105/19219 	 [%] = 83.797284
Xor file present: 	16529/19219 	 [%] = 86.003434
**** File name: ./output/25MB-spr2-no6.bin_clear_data.in ****
Clear file present: 	19188/19219 	 [%] = 99.838701
Xor file present: 	16529/19219 	 [%] = 86.003434
**** File name: ./output/25MB-spr2-no7.bin_clear_data.in ****
Clear file present: 	15614/19219 	 [%] = 81.242520
Xor file present: 	16428/19219 	 [%] = 85.477912
**** File name: ./output/25MB-spr2-no7.bin_clear_data.in ****
Clear file present: 	19174/19219 	 [%] = 99.765857
Xor file present: 	16428/19219 	 [%] = 85.477912
**** File name: ./output/25MB-spr2-no8.bin_clear_data.in ****
Clear file present: 	15749/19219 	 [%] = 81.944950
Xor file present: 	16396/19219 	 [%] = 85.311411
**** File name: ./output/25MB-spr2-no8.bin_clear_data.in ****
Clear file present: 	19186/19219 	 [%] = 99.828295
Xor file present: 	16396/19219 	 [%] = 85.311411
**** File name: ./output/25MB-spr2-no9.bin_clear_data.in ****
Clear file present: 	15769/19219 	 [%] = 82.049014
Xor file present: 	16398/19219 	 [%] = 85.321817
**** File name: ./output/25MB-spr2-no9.bin_clear_data.in ****
Clear file present: 	19173/19219 	 [%] = 99.760654
Xor file present: 	16398/19219 	 [%] = 85.321817
**** File name: ./output/25MB-spr2-no10.bin_clear_data.in ****
Clear file present: 	15733/19219 	 [%] = 81.861699
Xor file present: 	16395/19219 	 [%] = 85.306207
**** File name: ./output/25MB-spr2-no10.bin_clear_data.in ****
Clear file present: 	19193/19219 	 [%] = 99.864717
Xor file present: 	16395/19219 	 [%] = 85.306207
**** File name: ./output/25MB-spr2-no11.bin_clear_data.in ****
Clear file present: 	10882/19219 	 [%] = 56.621052
Xor file present: 	16425/19219 	 [%] = 85.462303
**** File name: ./output/25MB-spr2-no11.bin_clear_data.in ****
Clear file present: 	18441/19219 	 [%] = 95.951923
Xor file present: 	16425/19219 	 [%] = 85.462303
**** File name: ./output/25MB-spr2-no12.bin_clear_data.in ****
Clear file present: 	15757/19219 	 [%] = 81.986576
Xor file present: 	16428/19219 	 [%] = 85.477912
**** File name: ./output/25MB-spr2-no12.bin_clear_data.in ****
Clear file present: 	19178/19219 	 [%] = 99.786669
Xor file present: 	16428/19219 	 [%] = 85.477912
**** File name: ./output/25MB-spr2-no13.bin_clear_data.in ****
Clear file present: 	15719/19219 	 [%] = 81.788855
Xor file present: 	16567/19219 	 [%] = 86.201155
**** File name: ./output/25MB-spr2-no13.bin_clear_data.in ****
Clear file present: 	19187/19219 	 [%] = 99.833498
Xor file present: 	16567/19219 	 [%] = 86.201155
**** File name: ./output/25MB-spr2-no14.bin_clear_data.in ****
Clear file present: 	15769/19219 	 [%] = 82.049014
Xor file present: 	16540/19219 	 [%] = 86.060669
**** File name: ./output/25MB-spr2-no14.bin_clear_data.in ****
Clear file present: 	19179/19219 	 [%] = 99.791873
Xor file present: 	16540/19219 	 [%] = 86.060669
**** File name: ./output/25MB-spr2-no15.bin_clear_data.in ****
Clear file present: 	15817/19219 	 [%] = 82.298767
Xor file present: 	16630/19219 	 [%] = 86.528956
**** File name: ./output/25MB-spr2-no15.bin_clear_data.in ****
Clear file present: 	19186/19219 	 [%] = 99.828295
Xor file present: 	16630/19219 	 [%] = 86.528956
**** File name: ./output/25MB-spr2-no16.bin_clear_data.in ****
Clear file present: 	15750/19219 	 [%] = 81.950153
Xor file present: 	16634/19219 	 [%] = 86.549768
**** File name: ./output/25MB-spr2-no16.bin_clear_data.in ****
Clear file present: 	19174/19219 	 [%] = 99.765857
Xor file present: 	16634/19219 	 [%] = 86.549768
**** File name: ./output/25MB-spr2-no17.bin_clear_data.in ****
Clear file present: 	15787/19219 	 [%] = 82.142671
Xor file present: 	16597/19219 	 [%] = 86.357251
**** File name: ./output/25MB-spr2-no17.bin_clear_data.in ****
Clear file present: 	19180/19219 	 [%] = 99.797076
Xor file present: 	16597/19219 	 [%] = 86.357251
**** File name: ./output/25MB-spr2-no18.bin_clear_data.in ****
Clear file present: 	15770/19219 	 [%] = 82.054217
Xor file present: 	16593/19219 	 [%] = 86.336438
**** File name: ./output/25MB-spr2-no18.bin_clear_data.in ****
Clear file present: 	19185/19219 	 [%] = 99.823092
Xor file present: 	16593/19219 	 [%] = 86.336438
**** File name: ./output/25MB-spr2-no19.bin_clear_data.in ****
Clear file present: 	15787/19219 	 [%] = 82.142671
Xor file present: 	16497/19219 	 [%] = 85.836932
**** File name: ./output/25MB-spr2-no19.bin_clear_data.in ****
Clear file present: 	19192/19219 	 [%] = 99.859514
Xor file present: 	16497/19219 	 [%] = 85.836932
**** File name: ./output/25MB-spr2-no20.bin_clear_data.in ****
Clear file present: 	15687/19219 	 [%] = 81.622353
Xor file present: 	16589/19219 	 [%] = 86.315625
**** File name: ./output/25MB-spr2-no20.bin_clear_data.in ****
Clear file present: 	19178/19219 	 [%] = 99.786669
Xor file present: 	16589/19219 	 [%] = 86.315625
**** File name: ./output/25MB-spr2-no21.bin_clear_data.in ****
Clear file present: 	15712/19219 	 [%] = 81.752432
Xor file present: 	16549/19219 	 [%] = 86.107498
**** File name: ./output/25MB-spr2-no21.bin_clear_data.in ****
Clear file present: 	19192/19219 	 [%] = 99.859514
Xor file present: 	16549/19219 	 [%] = 86.107498
**** File name: ./output/25MB-spr2-no22.bin_clear_data.in ****
Clear file present: 	15742/19219 	 [%] = 81.908528
Xor file present: 	16606/19219 	 [%] = 86.404079
**** File name: ./output/25MB-spr2-no22.bin_clear_data.in ****
Clear file present: 	19168/19219 	 [%] = 99.734638
Xor file present: 	16606/19219 	 [%] = 86.404079
**** File name: ./output/25MB-spr2-no23.bin_clear_data.in ****
Clear file present: 	16053/19219 	 [%] = 83.526718
Xor file present: 	16578/19219 	 [%] = 86.258390
**** File name: ./output/25MB-spr2-no23.bin_clear_data.in ****
Clear file present: 	19193/19219 	 [%] = 99.864717
Xor file present: 	16578/19219 	 [%] = 86.258390
**** File name: ./output/25MB-spr2-no24.bin_clear_data.in ****
Clear file present: 	16105/19219 	 [%] = 83.797284
Xor file present: 	16598/19219 	 [%] = 86.362454
**** File name: ./output/25MB-spr2-no24.bin_clear_data.in ****
Clear file present: 	19194/19219 	 [%] = 99.869920
Xor file present: 	16598/19219 	 [%] = 86.362454
**** File name: ./output/25MB-spr2-no25.bin_clear_data.in ****
Clear file present: 	15775/19219 	 [%] = 82.080233
Xor file present: 	16615/19219 	 [%] = 86.450908
**** File name: ./output/25MB-spr2-no25.bin_clear_data.in ****
Clear file present: 	19169/19219 	 [%] = 99.739841
Xor file present: 	16615/19219 	 [%] = 86.450908
**** File name: ./output/25MB-spr2-no26.bin_clear_data.in ****
Clear file present: 	15779/19219 	 [%] = 82.101046
Xor file present: 	16573/19219 	 [%] = 86.232374
**** File name: ./output/25MB-spr2-no26.bin_clear_data.in ****
Clear file present: 	19184/19219 	 [%] = 99.817889
Xor file present: 	16573/19219 	 [%] = 86.232374
**** File name: ./output/25MB-spr2-no27.bin_clear_data.in ****
Clear file present: 	15730/19219 	 [%] = 81.846090
Xor file present: 	16261/19219 	 [%] = 84.608981
**** File name: ./output/25MB-spr2-no27.bin_clear_data.in ****
Clear file present: 	19164/19219 	 [%] = 99.713825
Xor file present: 	16261/19219 	 [%] = 84.608981
**** File name: ./output/25MB-spr2-no28.bin_clear_data.in ****
Clear file present: 	15787/19219 	 [%] = 82.142671
Xor file present: 	16512/19219 	 [%] = 85.914980
**** File name: ./output/25MB-spr2-no28.bin_clear_data.in ****
Clear file present: 	19176/19219 	 [%] = 99.776263
Xor file present: 	16512/19219 	 [%] = 85.914980
**** File name: ./output/25MB-spr2-no29.bin_clear_data.in ****
Clear file present: 	15643/19219 	 [%] = 81.393413
Xor file present: 	16579/19219 	 [%] = 86.263593
**** File name: ./output/25MB-spr2-no29.bin_clear_data.in ****
Clear file present: 	19187/19219 	 [%] = 99.833498
Xor file present: 	16579/19219 	 [%] = 86.263593
**** File name: ./output/25MB-spr2-no30.bin_clear_data.in ****
Clear file present: 	15607/19219 	 [%] = 81.206098
Xor file present: 	16321/19219 	 [%] = 84.921172
**** File name: ./output/25MB-spr2-no30.bin_clear_data.in ****
Clear file present: 	19161/19219 	 [%] = 99.698215
Xor file present: 	16321/19219 	 [%] = 84.921172
**** File name: ./output/25MB-spr2-no31.bin_clear_data.in ****
Clear file present: 	15700/19219 	 [%] = 81.689994
Xor file present: 	16530/19219 	 [%] = 86.008637
**** File name: ./output/25MB-spr2-no31.bin_clear_data.in ****
Clear file present: 	19179/19219 	 [%] = 99.791873
Xor file present: 	16530/19219 	 [%] = 86.008637
**** File name: ./output/25MB-spr2-no32.bin_clear_data.in ****
Clear file present: 	15839/19219 	 [%] = 82.413237
Xor file present: 	16558/19219 	 [%] = 86.154326
**** File name: ./output/25MB-spr2-no32.bin_clear_data.in ****
Clear file present: 	19186/19219 	 [%] = 99.828295
